A B 	 | & ^ 	 a b
0 0 	 1 1 0 	 1 1   equal
0 1 	 3 0 3 	 1 2   adjacent
0 z 	 3 1 2 	 1 3   compatible
0 2 	 5 0 5 	 1 4   incompatible
0 o 	 7 0 7 	 1 6   incompatible
0 - 	 7 1 6 	 1 7   compatible
1 1 	 2 2 0 	 2 2   equal
1 z 	 3 2 1 	 2 3   compatible
1 2 	 6 0 6 	 2 4   adjacent
1 o 	 6 2 4 	 2 6   compatible
1 - 	 7 2 5 	 2 7   compatible
z z 	 3 3 0 	 3 3   equal
z 2 	 7 0 7 	 3 4   incompatible
z o 	 7 2 5 	 3 6   adjacent
z - 	 7 3 4 	 3 7   compatible
2 2 	 4 4 0 	 4 4   equal
2 o 	 6 4 2 	 4 6   compatible
2 - 	 7 4 3 	 4 7   compatible
o o 	 6 6 0 	 6 6   equal
o - 	 7 6 1 	 6 7   compatible
- - 	 7 7 0 	 7 7   equal
